"id";"title";"description";"is_completed";"created_at";"updated_at"
1;"Prepare demo";"Create MVC sample project";0;"2026-02-13 18:59:46";"2026-02-13 18:59:46"
2;"Write docs";"Add README and architecture notes";0;"2026-02-13 18:59:46";"2026-02-13 18:59:46"
3;"Run tests";"Execute PHPUnit tests";0;"2026-02-13 18:59:46";"2026-02-24 06:09:49"
8;"Test 24 Feb";"Test 24 Feb  Description here ...";0;"2026-02-24 07:39:47";"2026-02-24 07:39:47"
9;"asdf";"asdfg hre";0;"2026-02-24 07:40:02";"2026-02-24 07:40:02"
10;"df";"fdg";0;"2026-02-24 07:40:10";"2026-02-24 07:40:10"
11;"fdgfd";"gfd";0;"2026-02-24 07:40:21";"2026-02-24 07:40:21"
12;"dfg dfgdf";"gfhfh";0;"2026-02-24 07:40:29";"2026-02-24 07:40:29"
13;"asas";"asasas";0;"2026-02-24 07:42:14";"2026-02-24 07:42:14"
14;"fdg";"fdgfd";0;"2026-02-24 07:43:02";"2026-02-24 07:43:02"
15;"df gfdg";"fdg";0;"2026-02-24 07:44:30";"2026-02-24 07:44:30"
16;"dfg df";"fdgfdg";0;"2026-02-24 07:45:25";"2026-02-24 07:45:25"
17;"sdf sdf d";"sf dfsdfdsdf";0;"2026-02-24 07:46:03";"2026-02-24 07:46:03"
